iter	MultiClass
0	1.005627647
1	0.9305723214
2	0.8698122832
3	0.8201538249
4	0.7785557297
5	0.7433534957
6	0.713351089
7	0.6872598364
8	0.6654122435
9	0.6462964184
10	0.629612239
11	0.6155510465
12	0.6020925267
13	0.5905418926
14	0.5805111184
15	0.5713989766
16	0.563137215
17	0.5568008868
18	0.5502740243
19	0.5448919267
20	0.5393271473
21	0.5356996322
22	0.5319247723
23	0.5281547166
24	0.5256766447
25	0.5230433374
26	0.5196382956
27	0.5168478044
28	0.5141448022
29	0.5108891646
30	0.5081915733
31	0.505436386
32	0.5034822071
33	0.5011108206
34	0.5003081541
35	0.4998174869
36	0.4988276738
37	0.4971881129
38	0.4956106508
39	0.4941688936
40	0.4925930922
41	0.4911974022
42	0.4896784829
43	0.4890145153
44	0.4875950095
45	0.4868945415
46	0.4863954283
47	0.4852752813
48	0.4840895252
49	0.4828721918
50	0.4828558579
51	0.4821377901
52	0.4814565344
53	0.4810240111
54	0.4802234588
55	0.4797301917
56	0.4796459927
57	0.4787861708
58	0.4780183646
59	0.4776810446
60	0.4770586583
61	0.4763651632
62	0.4758040745
63	0.4755745453
64	0.4750261794
65	0.4747508862
66	0.4747039291
67	0.4746266688
68	0.4741841895
69	0.4737440357
70	0.473717274
71	0.4729991397
72	0.4725078891
73	0.4719372389
74	0.4716496272
75	0.4711697208
76	0.4704888755
77	0.4699190035
78	0.4691498866
79	0.4689418577
80	0.46853743
81	0.4680720088
82	0.4680707519
83	0.467663076
84	0.467311015
85	0.4669715423
86	0.466463249
87	0.4661323876
88	0.4661257245
89	0.4657342275
90	0.4654090727
91	0.4651371802
92	0.4648309319
93	0.4644616752
94	0.464276702
95	0.4639638139
96	0.4635465539
97	0.4632922564
98	0.4628289468
99	0.4624613963
100	0.4621259023
101	0.4619262897
102	0.4615870368
103	0.4611633804
104	0.460993878
105	0.4606305326
106	0.4602606832
107	0.4598678028
108	0.4597028501
109	0.4594845204
110	0.4591229375
111	0.4588003685
112	0.4585865995
113	0.4582183261
114	0.4579788806
115	0.4578228202
116	0.4575597274
117	0.4572990781
118	0.4569865708
119	0.4567773676
120	0.4565288004
121	0.4563544149
122	0.4560851725
123	0.4559753806
124	0.4557622919
125	0.4555490539
126	0.455437165
127	0.455282065
128	0.4550248419
129	0.4548756724
130	0.454779476
131	0.4545287815
132	0.4543333498
133	0.4540989023
134	0.4538771556
135	0.453811026
136	0.4536301968
137	0.453528317
138	0.4532951261
139	0.4531676861
140	0.4530914973
141	0.4528785058
142	0.4526898546
143	0.4524662864
144	0.4522536571
145	0.4520810087
146	0.4519227151
147	0.4517772927
148	0.4516159064
149	0.451488558
150	0.4513111177
151	0.4511256924
152	0.4509639065
153	0.4507762431
154	0.4506459385
155	0.450455257
156	0.4503228638
157	0.4501965731
158	0.4500697287
159	0.4499385678
160	0.4498032162
