iter	Passed	Remaining
0	2	2093
1	3	1868
2	5	1692
3	6	1725
4	8	1705
5	9	1654
6	11	1675
7	13	1690
8	15	1683
9	17	1695
10	19	1708
11	20	1691
12	22	1705
13	24	1711
14	26	1713
15	27	1720
16	29	1727
17	31	1705
18	33	1706
19	34	1708
20	36	1723
21	38	1709
22	40	1717
23	42	1718
24	43	1710
25	45	1705
26	47	1705
27	49	1706
28	50	1707
29	52	1708
30	54	1713
31	56	1716
32	58	1715
33	60	1717
34	62	1710
35	63	1702
36	65	1702
37	67	1699
38	68	1697
39	70	1695
40	72	1693
41	74	1690
42	75	1688
43	77	1684
44	79	1682
45	81	1680
46	82	1677
47	84	1674
48	86	1672
49	87	1669
50	88	1654
51	90	1652
52	92	1651
53	94	1653
54	96	1654
55	98	1654
56	99	1647
57	101	1649
58	103	1650
59	105	1648
60	107	1647
61	108	1647
62	110	1649
63	112	1647
64	114	1646
65	116	1642
66	117	1630
67	118	1622
68	120	1619
69	121	1617
70	123	1611
71	124	1609
72	126	1606
73	128	1604
74	129	1601
75	131	1600
76	133	1598
77	135	1596
78	136	1595
79	138	1594
80	140	1594
81	142	1594
82	143	1587
83	145	1589
84	147	1587
85	149	1585
86	150	1584
87	152	1582
88	153	1574
89	155	1572
90	157	1570
91	158	1569
92	160	1567
93	162	1567
94	164	1569
95	166	1567
96	168	1565
97	169	1563
98	171	1561
99	173	1562
100	175	1562
101	177	1561
102	179	1560
103	180	1558
104	182	1556
105	184	1555
106	186	1554
107	188	1553
108	189	1552
109	191	1551
110	193	1548
111	195	1547
112	196	1544
113	198	1543
114	200	1540
115	201	1538
116	203	1536
117	205	1535
118	207	1533
119	208	1532
120	210	1530
121	212	1528
122	214	1527
123	215	1525
124	217	1523
125	219	1521
126	221	1519
127	222	1517
128	224	1516
129	226	1516
130	228	1514
131	230	1513
132	232	1513
133	234	1513
134	236	1513
135	237	1511
136	239	1510
137	241	1509
138	243	1508
139	245	1507
140	247	1505
141	248	1504
142	250	1503
143	252	1502
144	254	1501
145	256	1499
146	258	1499
147	260	1498
148	262	1498
149	264	1496
150	266	1496
151	267	1494
152	269	1493
153	271	1490
154	273	1489
155	275	1488
156	276	1487
157	278	1486
158	280	1485
159	282	1483
160	284	1482
161	286	1481
162	288	1479
163	289	1478
164	291	1476
165	293	1474
166	295	1473
167	297	1471
168	298	1469
169	300	1468
170	302	1466
171	304	1464
172	305	1462
173	307	1460
174	309	1458
175	311	1456
176	312	1454
177	314	1452
178	316	1450
179	317	1448
180	319	1446
181	321	1444
182	323	1442
183	324	1440
184	326	1438
185	328	1436
186	329	1434
187	331	1432
188	333	1430
189	335	1428
190	336	1426
191	338	1425
192	340	1423
193	342	1422
194	344	1420
195	345	1418
196	347	1417
197	349	1415
198	351	1414
199	353	1413
200	355	1411
201	356	1410
202	358	1408
203	360	1407
204	362	1406
205	364	1405
206	366	1404
207	368	1402
208	370	1401
209	372	1401
210	374	1400
211	376	1398
212	378	1396
213	379	1395
214	381	1393
215	383	1391
216	385	1389
217	387	1388
218	388	1386
219	390	1384
220	392	1382
221	394	1380
222	395	1379
223	397	1377
224	399	1375
225	401	1373
226	402	1371
227	404	1371
228	406	1370
229	408	1368
230	410	1367
231	412	1365
232	414	1364
233	416	1362
234	418	1361
235	419	1359
236	421	1358
237	423	1356
238	425	1354
239	427	1353
240	429	1351
241	431	1350
242	432	1348
243	434	1347
244	436	1345
245	438	1344
246	440	1342
247	442	1340
248	444	1339
249	445	1337
250	447	1336
251	449	1334
252	451	1333
253	453	1331
254	455	1330
255	457	1328
256	459	1327
257	460	1325
258	462	1323
259	464	1321
